Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Afghanistan,AFG,..,..,..,..,..,..,0.054,..,..,0.055,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Albania,ALB,..,2.5,..,..,..,..,2.53,..,..,2.68,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Algeria,DZA,..,0.16,..,..,..,..,0.25,..,..,0.25,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Andorra,AND,..,6.57,..,..,..,..,5.19,..,..,5.19,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Angola,AGO,..,1.2,..,..,..,..,3.58,..,..,3.1,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Antigua and Barbuda,ATG,..,2.31,..,..,..,..,2.67,..,..,2.9,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Argentina,ARG,..,4.17,..,..,..,..,4.66,..,..,4.71,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Armenia,ARM,..,1.92,..,..,..,..,2.69,..,..,2.55,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Australia,AUS,..,5.73,..,..,..,..,5.33,..,..,5.18,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Austria,AUT,..,6.37,..,..,..,..,5.82,..,..,5.77,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Azerbaijan,AZE,..,1.14,..,..,..,..,1.52,..,..,1.46,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,"Bahamas, The",BHS,..,2.59,..,..,..,..,2.03,..,..,2.12,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Bahrain,BHR,..,0.54,..,..,..,..,0.38,..,..,0.32,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Bangladesh,BGD,..,0.061,..,..,..,..,0.006,..,..,0.005,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Barbados,BRB,..,3,..,..,..,..,3.93,..,..,4.09,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Belarus,BLR,..,7.26,..,..,..,..,5.72,..,..,5.38,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Belgium,BEL,..,5.96,..,..,..,..,5.62,..,..,5.27,..,..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Belize,BLZ,..,2.29,..,..,..,..,2.8,..,..,2.59,..,..
