Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Afghanistan,AFG,..,..,..,..,..,..,0.35,..,..,0.36,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Albania,ALB,..,10.6,..,..,..,..,10.92,..,..,11.63,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Algeria,DZA,..,1,..,..,..,..,1.61,..,..,1.63,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Andorra,AND,..,20.35,..,..,..,..,17.16,..,..,17.17,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Angola,AGO,..,4.42,..,..,..,..,12.64,..,..,11.05,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Antigua and Barbuda,ATG,..,8.37,..,..,..,..,9.49,..,..,10.26,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Argentina,ARG,..,13.66,..,..,..,..,14.79,..,..,14.94,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Armenia,ARM,..,7.02,..,..,..,..,9.63,..,..,9.14,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Australia,AUS,..,17.86,..,..,..,..,16.44,..,..,15.96,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Austria,AUT,..,20.42,..,..,..,..,18.7,..,..,18.49,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Azerbaijan,AZE,..,5.99,..,..,..,..,7.82,..,..,7.51,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,"Bahamas, The",BHS,..,8.82,..,..,..,..,7.24,..,..,7.62,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Bahrain,BHR,..,2.53,..,..,..,..,1.8,..,..,1.5,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Bangladesh,BGD,..,0.39,..,..,..,..,0.036,..,..,0.033,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Barbados,BRB,..,11.69,..,..,..,..,15.38,..,..,15.98,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Belarus,BLR,..,24.47,..,..,..,..,19.5,..,..,18.71,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Belgium,BEL,..,19.41,..,..,..,..,18.33,..,..,17.15,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Belize,BLZ,..,8.79,..,..,..,..,10.76,..,..,9.94,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Benin,BEN,..,4,..,..,..,..,4.79,..,..,4.53,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Bhutan,BTN,..,4.43,..,..,..,..,0.65,..,..,0.67,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Bolivia,BOL,..,5.28,..,..,..,..,7.12,..,..,6.8,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Bosnia and Herzegovina,BIH,..,10.56,..,..,..,..,11.46,..,..,11.83,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Botswana,BWA,..,15.02,..,..,..,..,11.31,..,..,10.85,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Brazil,BRA,..,13.93,..,..,..,..,12.5,..,..,11.82,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Brunei Darussalam,BRN,..,0.34,..,..,..,..,0.69,..,..,0.72,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Bulgaria,BGR,..,18.93,..,..,..,..,19.69,..,..,20.17,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Burkina Faso,BFA,..,14.26,..,..,..,..,19.87,..,..,20.17,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Burundi,BDI,..,16.16,..,..,..,..,11.59,..,..,11.86,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Cabo Verde,CPV,..,9.78,..,..,..,..,9.37,..,..,8.81,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Cambodia,KHM,..,3.08,..,..,..,..,10.46,..,..,10.9,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Cameroon,CMR,..,10.7,..,..,..,..,9.8,..,..,8.96,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Canada,CAN,..,..,..,..,..,..,13.87,..,..,13.95,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Central African Republic,CAF,..,5.96,..,..,..,..,3.92,..,..,3.85,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Chad,TCD,..,7.21,..,..,..,..,2.39,..,..,2.25,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Chile,CHL,..,11.96,..,..,..,..,14.2,..,..,13.89,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,China,CHN,..,6.02,..,..,..,..,11.09,..,..,10.92,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Colombia,COL,..,9.04,..,..,..,..,9.36,..,..,9.3,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Comoros,COM,..,0.33,..,..,..,..,1.53,..,..,1.2,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,"Congo, Dem. Rep.",COD,..,1.53,..,..,..,..,3.28,..,..,3.2,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,"Congo, Rep.",COG,..,5.45,..,..,..,..,12.47,..,..,14.63,..,..
