Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Afghanistan,AFG,65.4867916524168,64.922461997785,66.8357271071327,66.02317421224,61.3667445152584,59.0103302514867,61.2526557952932,56.2870467224308,56.9108083545081,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Albania,ALB,22.7186632445467,21.998248157076,22.7725366537911,20.5782591769838,19.9385171053378,18.8839549651717,19.5125396228106,18.1899337514472,18.2006025215914,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Algeria,DZA,36.9302577059946,37.5360503002013,33.8340477410328,33.3668262043692,34.2453279072063,35.563917177565,36.0891635653848,39.853273847241,38.8840106983002,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,American Samoa,ASM,12.4790826565409,15.214667966958,15.3906418570512,14.3441501484645,14.1272255153053,13.3169920338184,13.0193901036704,12.3827298738272,12.4738202417443,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Andorra,AND,14.1187416066287,12.5940147055853,13.2735055489618,12.4070530290878,11.8136733075768,10.8304182450691,11.462178465567,10.2558344278431,10.3076213949548,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Angola,AGO,36.4481159908747,36.182967879889,33.1041946330203,33.4154950593669,34.6639225658386,32.9740250383699,32.7298731438952,31.785388814817,32.3885049076425,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Antigua and Barbuda,ATG,22.4085635347848,21.9761180428363,23.1478617038523,21.4710504378955,20.7353850736625,19.7255836182805,19.6963877942929,18.4609303216643,18.6223428464755,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Argentina,ARG,16.220530169464,16.7809479169912,17.382982132833,16.1350718237481,15.5973751475223,14.4669804074766,14.6316258961135,13.7514440269638,13.311833946835,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Armenia,ARM,36.860721103674,36.796446971455,38.6122752150667,37.184484644841,34.9372125951584,33.0859498151739,34.8814326393148,32.2271677279368,32.5281183420597,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
