Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Control of Corruption: Percentile Rank,CC.PER.RNK,Afghanistan,AFG,5.076142,0.952381,0.9478673,2.369668,1.895735,5.288462,6.25,3.365385,3.846154,4.326923,6.730769
Control of Corruption: Percentile Rank,CC.PER.RNK,Albania,ALB,23.85787,36.19048,26.54029,27.48815,27.01422,34.61538,38.46154,40.86538,42.30769,35.09615,33.17308
Control of Corruption: Percentile Rank,CC.PER.RNK,Algeria,DZA,18.78173,36.66667,35.07109,37.44076,39.33649,32.21154,29.80769,27.88461,30.28846,28.36539,29.32692
Control of Corruption: Percentile Rank,CC.PER.RNK,American Samoa,ASM,..,67.14286,66.82465,65.87678,65.40285,87.01923,87.01923,87.5,93.75,94.71154,94.71154
Control of Corruption: Percentile Rank,CC.PER.RNK,Andorra,AND,88.83249,88.09524,88.15166,87.20379,86.72986,87.01923,87.01923,87.5,86.53846,86.53846,87.5
Control of Corruption: Percentile Rank,CC.PER.RNK,Angola,AGO,1.522843,3.809524,4.265403,7.109005,6.161138,3.846154,3.846154,5.769231,6.25,11.53846,13.94231
Control of Corruption: Percentile Rank,CC.PER.RNK,Anguilla,AIA,..,88.09524,88.15166,87.20379,86.72986,87.01923,87.01923,87.5,86.53846,86.53846,87.5
Control of Corruption: Percentile Rank,CC.PER.RNK,Antigua and Barbuda,ATG,82.23351,88.09524,88.15166,87.20379,86.72986,74.03846,75.48077,74.51923,62.98077,63.46154,63.46154
Control of Corruption: Percentile Rank,CC.PER.RNK,Argentina,ARG,50.25381,43.33333,44.07583,39.33649,40.28436,35.09615,33.65385,47.11538,47.59615,55.28846,53.36538
Control of Corruption: Percentile Rank,CC.PER.RNK,Armenia,ARM,27.41117,26.66667,28.90995,33.64929,36.01896,36.05769,35.09615,32.69231,32.69231,42.78846,50
Control of Corruption: Percentile Rank,CC.PER.RNK,Aruba,ABW,..,84.28571,83.41232,82.93839,82.93839,81.73077,88.46154,89.42308,87.98077,87.01923,85.09615
Control of Corruption: Percentile Rank,CC.PER.RNK,Australia,AUS,93.90863,95.2381,96.20853,95.7346,93.83886,95.19231,94.23077,93.26923,92.78846,92.78846,94.23077
Control of Corruption: Percentile Rank,CC.PER.RNK,Austria,AUT,92.8934,91.90476,89.57346,89.09953,90.99526,90.38461,90.86539,91.34615,90.86539,91.34615,90.86539
Control of Corruption: Percentile Rank,CC.PER.RNK,Azerbaijan,AZE,4.568528,6.666667,9.478673,11.84834,16.58768,14.42308,16.82692,19.23077,17.78846,21.63461,19.71154
Control of Corruption: Percentile Rank,CC.PER.RNK,"Bahamas, The",BHS,86.80203,88.57143,89.09953,87.67773,88.6256,88.46154,83.17308,81.73077,83.65385,83.17308,84.13461
Control of Corruption: Percentile Rank,CC.PER.RNK,Bahrain,BHR,68.0203,63.33333,63.98104,67.77251,68.72038,63.94231,61.05769,57.69231,51.92308,51.44231,56.73077
Control of Corruption: Percentile Rank,CC.PER.RNK,Bangladesh,BGD,10.6599,14.7619,14.21801,21.32701,20.85308,19.23077,22.11539,18.75,19.23077,16.82692,16.34615
Control of Corruption: Percentile Rank,CC.PER.RNK,Barbados,BRB,91.37056,90,92.891,92.41706,91.46919,82.69231,90.38461,87.98077,89.42308,88.94231,88.46154
Control of Corruption: Percentile Rank,CC.PER.RNK,Belarus,BLR,42.6396,27.14286,27.01422,36.49289,39.81042,48.07692,46.63462,48.55769,47.11538,49.03846,53.84615
Control of Corruption: Percentile Rank,CC.PER.RNK,Belgium,BEL,90.86295,90.95238,91.94313,91.46919,92.891,91.34615,91.82692,92.78846,89.90385,90.38461,91.34615
Control of Corruption: Percentile Rank,CC.PER.RNK,Belize,BLZ,52.79188,55.23809,46.91943,54.50237,54.9763,51.92308,51.92308,49.51923,45.67308,51.92308,48.55769
Control of Corruption: Percentile Rank,CC.PER.RNK,Benin,BEN,36.54822,30,33.17535,20.85308,24.64455,29.80769,33.17308,34.13462,33.65385,41.34615,42.78846
Control of Corruption: Percentile Rank,CC.PER.RNK,Bermuda,BMU,88.83249,88.09524,88.15166,87.20379,86.72986,87.01923,87.01923,87.5,86.53846,86.53846,87.5
Control of Corruption: Percentile Rank,CC.PER.RNK,Bhutan,BTN,83.75635,79.04762,76.77725,78.67299,77.72512,87.5,82.21154,82.21154,91.82692,91.82692,91.82692
Control of Corruption: Percentile Rank,CC.PER.RNK,Bolivia,BOL,37.05584,39.04762,34.12322,27.01422,34.59716,30.28846,26.92308,25,28.36539,28.84615,25.96154
Control of Corruption: Percentile Rank,CC.PER.RNK,Bosnia and Herzegovina,BIH,33.50254,44.76191,47.8673,47.39336,50.23697,47.59615,43.26923,37.01923,37.01923,31.25,30.28846
Control of Corruption: Percentile Rank,CC.PER.RNK,Botswana,BWA,78.68021,81.90476,79.62085,78.19905,79.14692,78.36539,77.40385,80.76923,78.84615,77.88461,75.48077
Control of Corruption: Percentile Rank,CC.PER.RNK,Brazil,BRA,58.88325,60,63.03318,58.29384,55.92417,46.63462,42.78846,42.78846,36.05769,40.38462,42.30769
Control of Corruption: Percentile Rank,CC.PER.RNK,Brunei Darussalam,BRN,67.00507,78.09524,77.25118,71.56398,72.98578,69.71154,69.23077,70.19231,75,79.80769,78.36539
Control of Corruption: Percentile Rank,CC.PER.RNK,Bulgaria,BGR,53.80711,53.33333,51.65877,51.18483,48.81517,50.48077,49.51923,50.96154,50.96154,50.96154,50.48077
Control of Corruption: Percentile Rank,CC.PER.RNK,Burkina Faso,BFA,57.3604,43.80952,43.60189,37.91469,36.49289,38.46154,48.55769,52.88462,53.36538,53.36538,49.51923
Control of Corruption: Percentile Rank,CC.PER.RNK,Burundi,BDI,26.39594,10.95238,8.530806,1.421801,2.369668,8.653846,9.134615,10.09615,9.134615,5.288462,4.807693
Control of Corruption: Percentile Rank,CC.PER.RNK,Cabo Verde,CPV,74.61929,77.61905,78.67299,77.25118,77.25118,79.32692,79.80769,78.84615,80.28846,78.36539,79.80769
Control of Corruption: Percentile Rank,CC.PER.RNK,Cambodia,KHM,16.75127,7.142857,6.161138,13.27014,12.79621,11.53846,12.01923,9.134615,8.653846,8.653846,9.615385
Control of Corruption: Percentile Rank,CC.PER.RNK,Cameroon,CMR,7.106599,14.28571,12.32228,8.056872,9.952606,10.57692,12.98077,11.53846,11.05769,11.05769,11.05769
Control of Corruption: Percentile Rank,CC.PER.RNK,Canada,CAN,95.43147,96.19048,95.26067,95.26067,95.26067,94.23077,95.19231,96.15385,95.67308,93.75,93.26923
Control of Corruption: Percentile Rank,CC.PER.RNK,Cayman Islands,CYM,88.83249,84.28571,88.6256,88.15166,89.09953,81.73077,81.73077,68.75,69.23077,68.26923,67.78846
Control of Corruption: Percentile Rank,CC.PER.RNK,Central African Republic,CAF,8.121827,18.09524,18.48341,16.58768,12.32228,11.05769,7.211538,8.653846,11.53846,10.57692,10.57692
Control of Corruption: Percentile Rank,CC.PER.RNK,Chad,TCD,11.16751,2.857143,4.739336,3.791469,4.265403,6.25,5.288462,4.807693,5.288462,6.730769,5.769231
Control of Corruption: Percentile Rank,CC.PER.RNK,Chile,CHL,91.87817,90.47619,90.04739,90.99526,90.52132,90.86539,87.5,82.69231,82.21154,82.21154,83.17308
Control of Corruption: Percentile Rank,CC.PER.RNK,China,CHN,49.23858,33.33333,37.91469,40.28436,44.54976,45.67308,48.07692,49.03846,46.63462,45.67308,43.26923
Control of Corruption: Percentile Rank,CC.PER.RNK,Colombia,COL,40.60914,42.38095,49.2891,43.12796,42.1801,44.23077,47.59615,44.71154,43.75,45.19231,48.07692
Control of Corruption: Percentile Rank,CC.PER.RNK,Comoros,COM,11.67513,21.90476,22.74882,23.69668,25.11848,31.73077,25.96154,29.32692,26.44231,22.59615,15.38461
Control of Corruption: Percentile Rank,CC.PER.RNK,"Congo, Dem. Rep.",COD,0.5076142,2.380952,2.369668,4.265403,5.21327,7.211538,8.173077,7.211538,5.769231,3.846154,3.365385
Control of Corruption: Percentile Rank,CC.PER.RNK,"Congo, Rep.",COG,10.15228,12.38095,12.79621,10.42654,10.90047,10.09615,10.57692,10.57692,8.173077,7.692307,6.25
Control of Corruption: Percentile Rank,CC.PER.RNK,Cook Islands,COK,63.45178,50,51.18483,51.65877,50.7109,..,..,..,..,..,..
