Region,Subregion,Country,Drug Type,Source,Notes,Year,Lifetime,Past Month,Past Year
Americas,Central America,El Salvador,Cannabis,"Población objetivo: Estudiantes cursando los grados de septimo noveno y segundo año de bachillerato. La encuesta se paso en 98 centros educativos seleccionados de forma aleatoria a nivel nacional, utilizando la metodología del Sistema Interamericano de Da",Resin,2018,0.8,,
Americas,Central America,Guatemala,Cannabis,ARQ,-,2004,2,,1
Americas,Central America,Guatemala,Cannabis,ARQ,Herb,2014,11.31,3.08,5.69
Americas,Central America,Guatemala,Cannabis,ARQ,Resin,2014,0.88,,
Americas,Central America,Honduras,Cannabis,ARQ,Select Regions (Central  District),2008,3.4,,
Americas,Central America,Honduras,Cannabis,ARQ,"Herb, Secondary Schools",2014,16.8,4.4,9.6
Americas,Central America,Honduras,Cannabis,ARQ,"Herb, Secondary Schools",2015,14.7,1.1,6.8
Americas,Central America,Honduras,Cannabis,ARQ,Herb,2016,12,5.2,7.2
Americas,Central America,Nicaragua,Cannabis,Govt.,-,2003,4.8,,
Americas,Central America,Panama,Cannabis,CICAD/ OAS,-,2008,6.2,1.8,2.9
Americas,Central America,Panama,Cannabis,ARQ,Herb,2013,8.56,1.13,3.33
Americas,Central America,Panama,Cannabis,ARQ,Resin,2013,0.64,0.04,0.21
Americas,North America,Canada,Cannabis,ARQ,-,2008,47.3,,39.4
Americas,North America,Canada,Cannabis,ARQ,-,2010,34.3,13.3,23.7
Americas,North America,Canada,Cannabis,ARQ,-,2010,30,,25.8
Americas,North America,Canada,Cannabis,ARQ,-,2012,28.33,,23.05
Americas,North America,Canada,Cannabis,ARQ,-,2014,24.72,12.54,19.2
Americas,North America,Canada,Cannabis,ARQ,-,2016,25.9,13.86,21.56
Americas,North America,Canada,Cannabis,ARQ,Other types of cannabis,2016,5.34,,4.39
Americas,North America,Greenland,Cannabis,HBSC,-,2010,16.2,4.31,12.17
Americas,North America,Mexico,Cannabis,National Adiction Household Survey,-,2011,2.4,0.73,1.33
Americas,North America,Mexico,Cannabis,National Adiction Household Survey,-,2008,,,1.2
Americas,North America,Mexico,Cannabis,National Adiction Household Survey,-,2002,,,0.5
Americas,North America,Mexico,Cannabis,ARQ,-,2011,2.4,,1.3
Americas,North America,Mexico,Cannabis,ARQ,Herb only,2014,10.6,3.9,7.6
Americas,North America,Mexico,Cannabis,ARQ,Herb,2016,5.3,1.1,2.6
Americas,North America,Mexico,Cannabis,ARQ,Resin,2016,0.7,,
Americas,North America,United States of America,Cannabis,ARQ,Herb,2009,32.3,15.9,26.7
Americas,North America,United States of America,Cannabis,Govt.,Herb,2010,33.4,16.7,27.5
Americas,North America,United States of America,Cannabis,ARQ,Herb,2011,34.5,17.6,28.8
Americas,North America,United States of America,Cannabis,ARQ,Herb,2012,33.8,17,28
Americas,North America,United States of America,Cannabis,ARQ,-,2013,35.8,18,29.8
Americas,North America,United States of America,Cannabis,ARQ,-,2014,33.7,16.6,27.3
Americas,North America,United States of America,Cannabis,ARQ,Monitoring the future,2015,31.1,14.8,25.3
Americas,North America,United States of America,Cannabis,ARQ,-,2016,29.7,14,23.9
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,1991,22.7,8.3,15
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,1992,21.1,7.7,14.3
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,1993,23.4,10.2,17.7
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,1994,27.8,13.9,22.5
