Year,Country,Freedom_to_choices
2015,Switzerland,0.666
2015,Iceland,0.629
2015,Denmark,0.649
2015,Norway,0.67
2015,Finland,0.642
2015,Netherlands,0.616
2015,Sweden,0.66
2015,Austria,0.624
2015,Luxembourg,0.616
2015,Ireland,0.618
2015,Belgium,0.585
2015,United Kingdom,0.596
2015,Germany,0.615
2015,France,0.55
2015,Spain,0.46
2015,Malta,0.604
2015,Italy,0.262
2015,North Cyprus,0.49
2015,Cyprus,0.407
2015,Portugal,0.515
2015,Greece,0.077
2016,Denmark,0.579
2016,Switzerland,0.586
2016,Iceland,0.566
2016,Norway,0.596
2016,Finland,0.571
2016,Netherlands,0.552
2016,Sweden,0.582
2016,Austria,0.544
2016,Germany,0.535
2016,Belgium,0.514
2016,Ireland,0.54
2016,Luxembourg,0.549
2016,United Kingdom,0.5
2016,Malta,0.55
2016,France,0.466
2016,Spain,0.375
2016,Italy,0.188
2016,North Cyprus,0.436
2016,Cyprus,0.295
2016,Portugal,0.447
2016,Greece,0.058
2017,Norway,0.635
2017,Denmark,0.626
2017,Iceland,0.627
2017,Switzerland,0.62
2017,Finland,0.618
2017,Netherlands,0.585
2017,Sweden,0.613
2017,Austria,0.568
2017,Ireland,0.573
2017,Germany,0.563
2017,Belgium,0.54
2017,Luxembourg,0.597
2017,United Kingdom,0.508
2017,Malta,0.589
2017,France,0.47
2017,Spain,0.409
2017,Italy,0.256
2017,North Cyprus,0.471
2017,Cyprus,0.355
2017,Greece,0.096
2017,Portugal,0.498
2018,Finland,0.681
2018,Norway,0.686
2018,Denmark,0.683
2018,Iceland,0.677
2018,Switzerland,0.66
2018,Netherlands,0.638
2018,Sweden,0.659
2018,Austria,0.617
2018,Ireland,0.614
2018,Germany,0.586
2018,Belgium,0.583
2018,Luxembourg,0.632
2018,United Kingdom,0.533
2018,Malta,0.645
2018,France,0.52
2018,Spain,0.449
2018,Italy,0.281
2018,Cyprus,0.423
2018,Portugal,0.562
2018,Greece,0.131
2019,Finland,0.596
2019,Denmark,0.592
2019,Norway,0.603
2019,Iceland,0.591
2019,Netherlands,0.557
2019,Switzerland,0.572
2019,Sweden,0.574
2019,Austria,0.532
2019,Luxembourg,0.526
2019,United Kingdom,0.45
2019,Germany,0.495
2019,Belgium,0.473
2019,Malta,0.564
2019,France,0.436
2019,Spain,0.362
2019,Italy,0.231
2019,Cyprus,0.406
2019,Portugal,0.508
2019,Greece,0.067
2015,Mauritius,0.561
2015,Nigeria,0.343
2015,Zambia,0.488
2015,Somaliland region,0.466
2015,Mozambique,0.34
2015,Lesotho,0.318
2015,Swaziland,0.307
2015,South Africa,0.332
2015,Ghana,0.423
2015,Zimbabwe,0.259
2015,Liberia,0.285
2015,Sudan,0.101
2015,Congo (Kinshasa),0.226
2015,Ethiopia,0.435
2015,Sierra Leone,0.408
2015,Mauritania,0.242
2015,Kenya,0.422
2015,Djibouti,0.461
2015,Botswana,0.495
2015,Malawi,0.431
2015,Cameroon,0.493
2015,Angola,0.104
2015,Mali,0.389
2015,Congo (Brazzaville),0.415
2015,Comoros,0.229
2015,Uganda,0.457
2015,Senegal,0.368
