Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Afghanistan,AFG,..,..,5.60622501,4.34189463,5.03476191,4.96025801,5.17223978,5.0778451,5.09581852,5.17229605,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Albania,ALB,..,38.2429657,49.33045959,48.56695938,47.86376953,47.12691498,55.78379059,57.0320549,53.3665657,53.9937973,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Algeria,DZA,..,71.96343231,70.62489319,72.92945862,71.04844666,72.00878143,70.45919037,67.68461609,65.95869446,65.83422852,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Andorra,AND,..,65.97480774,68.5296402,67.2072525,66.89189148,68.21192169,68.98734283,69.09091187,69.7142868,67.93478394,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Angola,AGO,..,58.20956802,64.75706482,65.25455475,62.0297966,54.15326309,47.36523056,44.13825607,46.27865219,41.92943954,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Antigua and Barbuda,ATG,..,57.84612274,56.94827271,56.2952652,56.08193207,59.15979004,59.78766251,55.84991074,52.94717407,55.51148224,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Argentina,ARG,..,54.73170471,60.32122803,62.42687225,63.59713745,65.42354584,66.71373749,62.11119843,63.20079422,61.40730286,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Armenia,ARM,..,22.7532177,17.84222031,17.27693176,13.32556438,14.79110718,15.91488075,16.45247269,13.24466896,12.34010601,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Australia,AUS,..,71.83631897,73.26029205,71.23465729,67.56186676,67.30356598,68.20643616,68.59472656,68.8476181,69.06532288,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Austria,AUT,..,74.16340637,72.68902588,72.8737793,72.16905975,72.51708984,72.45601654,72.35967255,72.37002563,73.08517456,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Azerbaijan,AZE,..,29.39671898,38.74684525,37.56232452,35.00720596,33.40050125,31.71983719,28.82154846,26.81677055,26.52778053,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,"Bahamas, The",BHS,..,39.57864761,44.60736084,43.497715,45.63111496,44.95444489,44.35163116,48.65687943,55.59007645,50.21815872,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Bahrain,BHR,..,66.03279114,62.53778839,65.34840393,65.18132782,65.06402588,64.88478851,61.36419678,57.97850037,58.83235168,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Bangladesh,BGD,..,28.69051743,20.92262268,20.47002983,19.73048019,19.03475761,17.63069725,16.41582489,16.68619728,16.97912025,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Barbados,BRB,..,51.85347748,48.49534607,55.33291626,50.78301239,46.94935989,47.23840714,47.15645599,45.35305786,44.77546692,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Belarus,BLR,..,78.66545105,63.35825348,65.65190125,62.65647888,62.60076904,60.78436279,70.94084167,69.10974121,70.41131592,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Belgium,BEL,..,74.53091431,76.00078583,76.44179535,75.97689056,75.81896973,75.7438736,76.06952667,75.92802429,75.78453827,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Belize,BLZ,..,47.20991135,65.3565979,65.60863495,66.60925293,62.80492401,67.82137299,68.77166748,68.64238739,68.59848785,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Benin,BEN,..,26.04422188,25.73223495,21.86915207,26.74820328,21.56858063,20.13637733,20.679142,30.79637909,19.68795776,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Bhutan,BTN,..,79.66617584,73.41854858,69.57640839,68.88393402,69.01010132,74.25157928,73.95301819,74.51843262,79.54949951,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Bolivia,BOL,..,55.32917404,58.39107513,57.03056335,58.5225296,62.62419128,65.74084473,64.82120514,68.52770233,71.1684494,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Bosnia and Herzegovina,BIH,..,53.39737701,68.3642807,68.63848877,69.37789154,70.30995178,69.1782608,70.82466125,70.09870148,69.84757996,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Botswana,BWA,..,54.82462692,61.4154892,64.50315094,63.92881393,67.8591156,67.75788116,66.52246857,75.6595993,77.47571564,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Brazil,BRA,..,41.63555527,44.49915695,43.36180878,44.51945877,44.05274582,42.91173553,42.95980453,41.87918091,41.67183304,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Brunei Darussalam,BRN,..,84.16868591,91.52812958,91.14807129,90.5925827,92.66539764,95.02642059,95.02018738,94.58857727,95.14074707,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Bulgaria,BGR,..,59.55728912,54.13435745,50.79977417,56.56290817,58.23860168,55.89730072,55.13334274,54.53628922,57.6365242,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Burkina Faso,BFA,..,32.58329773,28.95878601,23.12789345,28.98208809,32.53527451,28.37508011,40.0837326,43.30178452,42.50740814,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Burundi,BDI,..,23.71829605,34.46959686,31.3074913,18.04870987,37.30282974,37.99647903,24.06954575,24.71365929,24.57395935,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Cabo Verde,CPV,..,71.29876709,66.54673767,59.89725494,57.76818466,57.13071823,65.88639832,63.57854462,61.21276093,60.16452408,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Cambodia,KHM,..,19.7610817,17.0569191,19.37299538,19.98289299,18.49970436,21.70782852,21.80688477,18.39777946,21.27320671,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Cameroon,CMR,..,15.6891613,14.87340069,16.28308678,13.22830486,15.51791096,10.10521603,10.16111946,4.16630125,5.95971251,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Canada,CAN,..,72.85163879,73.82319641,74.10050964,74.25772858,73.64110565,74.04132843,73.02696991,73.20887756,73.4917984,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Central African Republic,CAF,..,39.63898468,10.40669727,17.15918732,20.06301117,14.47558117,9.05484867,11.0127058,10.93435097,6.26232719,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Chad,TCD,..,38.02174759,21.41591072,24.77817154,27.94080734,28.88875008,21.26423645,16.76631737,15.80557251,17.00144196,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
