Year,Country,Score
2015,Switzerland,7.587
2015,Iceland,7.561
2015,Denmark,7.527
2015,Norway,7.522
2015,Finland,7.406
2015,Netherlands,7.378
2015,Sweden,7.364
2015,Austria,7.2
2015,Luxembourg,6.946
2015,Ireland,6.94
2015,Belgium,6.937
2015,United Kingdom,6.867
2015,Germany,6.75
2015,France,6.575
2015,Spain,6.329
2015,Malta,6.302
2015,Italy,5.948
2015,North Cyprus,5.695
2015,Cyprus,5.689
2015,Portugal,5.102
2015,Greece,4.857
2016,Denmark,7.526
2016,Switzerland,7.509
2016,Iceland,7.501
2016,Norway,7.498
2016,Finland,7.413
2016,Netherlands,7.339
2016,Sweden,7.291
2016,Austria,7.119
2016,Germany,6.994
2016,Belgium,6.929
2016,Ireland,6.907
2016,Luxembourg,6.871
2016,United Kingdom,6.725
2016,Malta,6.488
2016,France,6.478
2016,Spain,6.361
2016,Italy,5.977
2016,North Cyprus,5.771
2016,Cyprus,5.546
2016,Portugal,5.123
2016,Greece,5.033
2017,Norway,7.537
2017,Denmark,7.522
2017,Iceland,7.504
2017,Switzerland,7.494
2017,Finland,7.469
2017,Netherlands,7.377
2017,Sweden,7.284
2017,Austria,7.006
2017,Ireland,6.977
2017,Germany,6.951
2017,Belgium,6.891
2017,Luxembourg,6.863
2017,United Kingdom,6.714
2017,Malta,6.527
2017,France,6.442
2017,Spain,6.403
2017,Italy,5.964
2017,North Cyprus,5.81
2017,Cyprus,5.621
2017,Greece,5.227
2017,Portugal,5.195
2018,Finland,7.632
2018,Norway,7.594
2018,Denmark,7.555
2018,Iceland,7.495
2018,Switzerland,7.487
2018,Netherlands,7.441
2018,Sweden,7.314
2018,Austria,7.139
2018,Ireland,6.977
2018,Germany,6.965
2018,Belgium,6.927
2018,Luxembourg,6.91
2018,United Kingdom,6.814
2018,Malta,6.627
2018,France,6.489
2018,Spain,6.31
2018,Italy,6
2018,Cyprus,5.762
2018,Portugal,5.41
2018,Greece,5.358
2019,Finland,7.769
2019,Denmark,7.6
2019,Norway,7.554
2019,Iceland,7.494
2019,Netherlands,7.488
2019,Switzerland,7.48
2019,Sweden,7.343
2019,Austria,7.246
2019,Luxembourg,7.09
2019,United Kingdom,7.054
2019,Germany,6.985
2019,Belgium,6.923
2019,Malta,6.726
2019,France,6.592
2019,Spain,6.354
2019,Italy,6.223
2019,Cyprus,6.046
2019,Portugal,5.693
2019,Greece,5.287
2015,Mauritius,5.477
2015,Nigeria,5.268
2015,Zambia,5.129
2015,Somaliland region,5.057
2015,Mozambique,4.971
2015,Lesotho,4.898
2015,Swaziland,4.867
2015,South Africa,4.642
2015,Ghana,4.633
2015,Zimbabwe,4.61
2015,Liberia,4.571
2015,Sudan,4.55
2015,Congo (Kinshasa),4.517
2015,Ethiopia,4.512
2015,Sierra Leone,4.507
2015,Mauritania,4.436
2015,Kenya,4.419
2015,Djibouti,4.369
2015,Botswana,4.332
2015,Malawi,4.292
2015,Cameroon,4.252
2015,Angola,4.033
2015,Mali,3.995
2015,Congo (Brazzaville),3.989
2015,Comoros,3.956
2015,Uganda,3.931
2015,Senegal,3.904
2015,Gabon,3.896
2015,Niger,3.845
2015,Tanzania,3.781
2015,Madagascar,3.681
2015,Central African Republic,3.678
2015,Chad,3.667
2015,Guinea,3.656
2015,Ivory Coast,3.655
2015,Burkina Faso,3.587
2015,Rwanda,3.465
2015,Benin,3.34
2015,Burundi,2.905
2015,Togo,2.839
2016,Mauritius,5.648
2016,Somaliland Region,5.057
2016,Nigeria,4.875
2016,Zambia,4.795
2016,Sierra Leone,4.635
2016,Cameroon,4.513
2016,Ethiopia,4.508
2016,South Africa,4.459
2016,Kenya,4.356
2016,Ghana,4.276
2016,Congo (Kinshasa),4.272
2016,Congo (Brazzaville),4.236
2016,Senegal,4.219
