Year,Country,Social_Support
2015,Switzerland,1.35
2015,Iceland,1.402
2015,Denmark,1.361
2015,Norway,1.331
2015,Finland,1.318
2015,Netherlands,1.28
2015,Sweden,1.289
2015,Austria,1.297
2015,Luxembourg,1.22
2015,Ireland,1.369
2015,Belgium,1.286
2015,United Kingdom,1.285
2015,Germany,1.299
2015,France,1.26
2015,Spain,1.314
2015,Malta,1.302
2015,Italy,1.198
2015,North Cyprus,1.07
2015,Cyprus,0.893
2015,Portugal,1.139
2015,Greece,0.929
2016,Denmark,1.164
2016,Switzerland,1.145
2016,Iceland,1.183
2016,Norway,1.127
2016,Finland,1.135
2016,Netherlands,1.029
2016,Sweden,1.088
2016,Austria,1.084
2016,Germany,1.098
2016,Belgium,1.052
2016,Ireland,1.162
2016,Luxembourg,1.04
2016,United Kingdom,1.087
2016,Malta,1.099
2016,France,1.005
2016,Spain,1.129
2016,Italy,1.042
2016,North Cyprus,0.818
2016,Cyprus,0.707
2016,Portugal,0.944
2016,Greece,0.755
2017,Norway,1.534
2017,Denmark,1.551
2017,Iceland,1.611
2017,Switzerland,1.517
2017,Finland,1.54
2017,Netherlands,1.429
2017,Sweden,1.478
2017,Austria,1.46
2017,Ireland,1.558
2017,Germany,1.473
2017,Belgium,1.462
2017,Luxembourg,1.458
2017,United Kingdom,1.496
2017,Malta,1.488
2017,France,1.388
2017,Spain,1.532
2017,Italy,1.445
2017,North Cyprus,1.186
2017,Cyprus,1.131
2017,Greece,1.239
2017,Portugal,1.367
2018,Finland,1.592
2018,Norway,1.582
2018,Denmark,1.59
2018,Iceland,1.644
2018,Switzerland,1.549
2018,Netherlands,1.488
2018,Sweden,1.501
2018,Austria,1.504
2018,Ireland,1.583
2018,Germany,1.474
2018,Belgium,1.483
2018,Luxembourg,1.52
2018,United Kingdom,1.559
2018,Malta,1.525
2018,France,1.466
2018,Spain,1.538
2018,Italy,1.501
2018,Cyprus,1.191
2018,Portugal,1.429
2018,Greece,1.202
2019,Finland,1.587
2019,Denmark,1.573
2019,Norway,1.582
2019,Iceland,1.624
2019,Netherlands,1.522
2019,Switzerland,1.526
